scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0448,South Pacific Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2183/South_Pacific_Scholarship,https://www.iefa.org/scholarships/2183/South_Pacific_Scholarship,USA,USA,Unrestricted,Postgraduate,Full-time,"Biology/Life Sciences, Business/Management, Communications...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: United States; Fields: Biology/Life Sciences, Business/Management, Communications....","Merit, essay response, and academic verification.",Undergraduate applicants residing in their home country of Vietnam or Indonesia that are applying to the University of the Incarnate...,Not specified,2026-09-16
SCH_0449,University Of Wisconsin-Superior Nonresident Tuition Waiver (NTW) Award,University,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/1267/University_Of_Wisconsin-Superior_Nonresident_Tuition_Waiver_(NTW)_Award,https://www.iefa.org/scholarships/1267/University_Of_Wisconsin-Superior_Nonresident_Tuition_Waiver_(NTW)_Award,USA,USA,Unrestricted,Postgraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","UW-Superior offers nonresident tuition waivers (NTWs) of $5,300 to $7,200 per year to more than 90% of international undergraduate students...",Not specified,2026-09-16
SCH_0450,Marie Sklodowska-Curie Individual Fellowships at FEEM supported by Eni,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3417/Marie_Sklodowska-Curie_Individual_Fellowships_at_FEEM_supported_by_Eni_,https://www.iefa.org/scholarships/3417/Marie_Sklodowska-Curie_Individual_Fellowships_at_FEEM_supported_by_Eni_,Italy,Italy,Unrestricted,Postgraduate,Full-time,"Sustainable Development, Economics, Applied Science...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Italy; Fields: Sustainable Development, Economics, Applied Science....","Merit, essay response, and academic verification.","Subject: Road transport decarbonization Following FEEM's long-time tradition of successful international post-graduate and doctoral training, and Eni's interest in supporting innovation...",Not specified,2026-09-16
SCH_0451,Decarbonisation in the energy sector: Marie Sklodowska-Curie Fellowships,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3422/Decarbonisation_in_the_energy_sector:_Marie_Sklodowska-Curie_Fellowships,https://www.iefa.org/scholarships/3422/Decarbonisation_in_the_energy_sector:_Marie_Sklodowska-Curie_Fellowships,Italy,Italy,Unrestricted,Postgraduate,Full-time,"Sustainable Development, Economics, Applied Science...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Italy; Fields: Sustainable Development, Economics, Applied Science....","Merit, essay response, and academic verification.","Following FEEM long time tradition of successful international post-graduate and doctoral training, and Eni interest in supporting innovation and excellence...",Not specified,2026-09-16
SCH_0452,European PhD Flavor Research Awards for final year PhD students,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3420/European_PhD_Flavor_Research_Awards_for_final_year_PhD_students,https://www.iefa.org/scholarships/3420/European_PhD_Flavor_Research_Awards_for_final_year_PhD_students,"Austria, Belgium, Bolivia...","Austria, Belgium, Bolivia...",Unrestricted,Any,Full-time,"Biology/Life Sciences, Engineering, Agriculture...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,EUR,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Austria, Belgium, Bolivia...; Fields: Biology/Life Sciences, Engineering, Agriculture....","Merit, essay response, and academic verification.",The programme aims to raise the profile of flavor science research in Europe by encouraging students of differing scientific disciplines...,Not specified,2026-09-16
SCH_0453,European PhD Flavor Research Bursary for first year PhD students,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3421/European_PhD_Flavor_Research_Bursary_for_first_year_PhD_students,https://www.iefa.org/scholarships/3421/European_PhD_Flavor_Research_Bursary_for_first_year_PhD_students,International,International,Unrestricted,Postgraduate,Full-time,"Biology/Life Sciences, Business/Management, Engineering...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,EUR,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Unrestricted; Fields: Biology/Life Sciences, Business/Management, Engineering....","Merit, essay response, and academic verification.",Applications for European PhD Flavor Research Award & Bursaries. The programme aims to raise the profile of flavor science research...,Not specified,2026-09-16
SCH_0454,Scholarship for Orphans,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3413/Scholarship_for_Orphans,https://www.iefa.org/scholarships/3413/Scholarship_for_Orphans,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",We at CustomEssayMeister believe that many bright students are buried in various life circumstances that hinder them from reaching their...,Not specified,2026-09-16
SCH_0455,International Academic Merit Scholarships,Wilson College full-time,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2089/International_Academic_Merit_Scholarships,https://www.iefa.org/scholarships/2089/International_Academic_Merit_Scholarships,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",A student must be enrolled at Wilson College full-time to be eligible for a Merit Scholarship. Eligibility for the tuition...,Not specified,2026-09-16
SCH_0456,International Partnership Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3383/International_Partnership_Scholarship_,https://www.iefa.org/scholarships/3383/International_Partnership_Scholarship_,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Given to first year students who come from international backgrounds Only available for students attending Birmingham-Southern College,Not specified,2026-09-16
SCH_0457,Youth Forward Scholarship Opportunity,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3404/Youth_Forward_Scholarship_Opportunity,https://www.iefa.org/scholarships/3404/Youth_Forward_Scholarship_Opportunity,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","National Driving and Traffic School are proud to announce their scholarship opportunity, entitled “In the Driver’s Seat.” The company is...",Not specified,2026-09-16
SCH_0458,Skoolville's Scholarship for Exemplary International Students,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3403/Skoolville's_Scholarship_for_Exemplary_International_Students,https://www.iefa.org/scholarships/3403/Skoolville's_Scholarship_for_Exemplary_International_Students,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Skoolville is an online study abroad consultancy providing free counseling services to international students interested in applying to USA, Canada,...",Not specified,2026-09-16
